IID	POP	SUPOP	Countryoforigin
GA000924	LOD	SAS	India
GA000925	LOD	SAS	India
GA000926	LOD	SAS	India
GA000927	LOD	SAS	India
GA000928	LOD	SAS	India
GA000929	LOD	SAS	India
GA000930	LOD	SAS	India
GA000931	LOD	SAS	India
GA000932	LOD	SAS	India
GA000933	LOD	SAS	India
GA000934	MUN	SAS	India
GA000935	MUN	SAS	India
GA000936	ORN	SAS	India
GA000937	ORN	SAS	India
GA000938	ORN	SAS	India
GA000939	ORN	SAS	India
GA000940	ORN	SAS	India
GA000941	ORN	SAS	India
GA000942	ORN	SAS	India
GA000943	ORN	SAS	India
GA000944	ORN	SAS	India
GA000945	ORN	SAS	India
GA000946	ORN	SAS	India
GA000947	ORN	SAS	India
GA000948	ORN	SAS	India
GA000949	ORN	SAS	India
GA000950	ORN	SAS	India
GA000951	TNT	SAS	India
GA000952	WBB	SAS	India
GA000953	WBB	SAS	India
GA000954	WBB	SAS	India
GA000955	WBB	SAS	India
GA000956	WBB	SAS	India
GA000957	WBB	SAS	India
GA000958	WBB	SAS	India
GA000959	WBB	SAS	India
GA000960	WBB	SAS	India
GA000961	WBB	SAS	India
GA000963	CHM	SAS	India
GA000964	CHM	SAS	India
GA000965	CHM	SAS	India
GA000966	CHM	SAS	India
GA000967	CHM	SAS	India
GA000968	CHM	SAS	India
GA000969	KHA	SAS	India
GA000970	KHA	SAS	India
GA000971	KHA	SAS	India
GA000972	KHA	SAS	India
GA000973	KHA	SAS	India
GA000974	KHA	SAS	India
GA000975	KHA	SAS	India
GA000976	KHA	SAS	India
GA000977	KHA	SAS	India
GA000978	KHA	SAS	India
GA000979	KHA	SAS	India
GA000980	SRB	SAS	India
GA000981	SRB	SAS	India
GA000982	SRB	SAS	India
GA000983	SRB	SAS	India
GA000984	SRB	SAS	India
GA000985	SRB	SAS	India
GA000986	SRB	SAS	India
GA000987	SRB	SAS	India
GA000988	SRB	SAS	India
GA000989	SRB	SAS	India
GA000990	SRB	SAS	India
GA000991	SRB	SAS	India
GA000992	SRB	SAS	India
GA000993	SRB	SAS	India
GA000994	CHK	SAS	India
GA000995	CHK	SAS	India
GA000996	CHK	SAS	India
GA000997	CHK	SAS	India
GA000998	CHK	SAS	India
GA000999	CHK	SAS	India
GA001000	CHK	SAS	India
GA001001	CHK	SAS	India
GA001002	CHK	SAS	India
GA001003	CHK	SAS	India
GA001004	CHK	SAS	India
GA001005	JAM	SAS	India
GA001006	JAM	SAS	India
GA001007	JAM	SAS	India
GA001008	JAM	SAS	India
GA001009	JAM	SAS	India
GA001010	JAM	SAS	India
GA001011	JAM	SAS	India
GA001012	JAM	SAS	India
GA001013	JAM	SAS	India
GA001014	MNP	SAS	India
GA001016	MNP	SAS	India
GA001017	MNP	SAS	India
GA001018	MNP	SAS	India
GA001019	MNP	SAS	India
GA001020	MOG	SAS	India
GA001021	MOG	SAS	India
GA001022	MOG	SAS	India
GA001023	MOG	SAS	India
GA001024	MOG	SAS	India
GA001025	MOG	SAS	India
GA001026	MOG	SAS	India
GA001027	MOG	SAS	India
GA001028	MOG	SAS	India
GA001029	MOG	SAS	India
GA001030	MOG	SAS	India
GA001031	MOG	SAS	India
GA001032	MOG	SAS	India
GA001033	MOG	SAS	India
GA001034	MOG	SAS	India
GA001035	MOG	SAS	India
GA001037	MOG	SAS	India
GA001038	MOG	SAS	India
GA001039	MOG	SAS	India
GA001040	MOG	SAS	India
GA001041	TTO	SAS	India
GA001042	TTO	SAS	India
GA001043	TTO	SAS	India
GA001044	TTO	SAS	India
GA001045	TTO	SAS	India
GA001046	TTO	SAS	India
GA001047	TTO	SAS	India
GA001048	TTO	SAS	India
GA001049	TTO	SAS	India
GA001050	TTO	SAS	India
GA001051	TTO	SAS	India
GA001052	GAU	SAS	India
GA001053	GAU	SAS	India
GA001054	GAU	SAS	India
GA001055	GAU	SAS	India
GA001056	GAU	SAS	India
GA001057	GAU	SAS	India
GA001058	GAU	SAS	India
GA001059	GAU	SAS	India
GA001060	GAU	SAS	India
GA001061	HLB	SAS	India
GA001062	RTH	SAS	India
GA001063	RTH	SAS	India
GA001064	RTH	SAS	India
GA001065	RTH	SAS	India
GA001066	RTH	SAS	India
GA001067	RTH	SAS	India
GA001068	RTH	SAS	India
GA001069	RTH	SAS	India
GA001070	RTH	SAS	India
GA001071	RTH	SAS	India
GA001072	RTH	SAS	India
GA001073	RTH	SAS	India
GA001074	CHN	SAS	India
GA001075	CHN	SAS	India
GA001076	CHN	SAS	India
GA001077	CHN	SAS	India
GA001078	CHN	SAS	India
GA001079	CHN	SAS	India
GA001080	CHN	SAS	India
GA001081	CHN	SAS	India
GA001082	IYA	SAS	India
GA001083	IYA	SAS	India
GA001085	IYA	SAS	India
GA001086	IYA	SAS	India
GA001087	IYA	SAS	India
GA001088	IYA	SAS	India
GA001089	IYE	SAS	India
GA001090	IYE	SAS	India
GA001091	IYE	SAS	India
GA001092	IYE	SAS	India
GA001093	IYE	SAS	India
GA001094	IYE	SAS	India
GA001095	IYE	SAS	India
GA001096	IYE	SAS	India
GA001097	IYE	SAS	India
GA001098	IYE	SAS	India
GA001099	IYE	SAS	India
GA001100	IYE	SAS	India
GA001101	IYE	SAS	India
GA001102	KYD	SAS	India
GA001103	KYD	SAS	India
GA001104	KYD	SAS	India
GA001105	KYD	SAS	India
GA001106	KYD	SAS	India
GA001107	KYD	SAS	India
GA001108	KYD	SAS	India
GA001109	KYD	SAS	India
GA001110	KYD	SAS	India
GA001111	KYD	SAS	India
GA001112	KYD	SAS	India
GA001113	KNR	SAS	India
GA001114	KNR	SAS	India
GA001115	KNR	SAS	India
GA001116	KNR	SAS	India
GA001117	KNR	SAS	India
GA001118	KNR	SAS	India
GA001119	KNR	SAS	India
GA001120	KNR	SAS	India
GA001121	KNR	SAS	India
GA001122	KNR	SAS	India
GA001123	KNR	SAS	India
GA001124	KNR	SAS	India
GA001125	KNR	SAS	India
GA001126	KNR	SAS	India
GA001127	KNR	SAS	India
GA001128	KNR	SAS	India
GA001129	KNR	SAS	India
GA001130	LAM	SAS	India
GA001131	LAM	SAS	India
GA001132	LAM	SAS	India
GA001133	LAM	SAS	India
GA001134	LAM	SAS	India
GA001135	LAM	SAS	India
GA001136	LAM	SAS	India
GA001137	LAM	SAS	India
GA001138	LAM	SAS	India
GA001139	LAM	SAS	India
GA001140	LAM	SAS	India
GA001141	LAM	SAS	India
GA001142	LAM	SAS	India
GA001143	LAM	SAS	India
GA001144	LAM	SAS	India
GA001145	LAM	SAS	India
GA001146	LAM	SAS	India
GA001147	PNY	SAS	India
GA001148	PNY	SAS	India
GA001149	PNY	SAS	India
GA001150	PNY	SAS	India
GA001151	PNY	SAS	India
GA001152	PNY	SAS	India
GA001154	PNY	SAS	India
GA001155	PNY	SAS	India
GA001156	PNY	SAS	India
GA001157	PNY	SAS	India
GA001158	PNY	SAS	India
GA001159	TOD	SAS	India
GA001160	TOD	SAS	India
GA001161	TOD	SAS	India
GA001162	TOD	SAS	India
GA001163	TOD	SAS	India
GA001164	TOD	SAS	India
GA001165	TOD	SAS	India
GA001166	TOD	SAS	India
GA001167	TOD	SAS	India
GA001168	TOD	SAS	India
GA001169	TOD	SAS	India
GA001170	TOD	SAS	India
GA001171	TOD	SAS	India
GA001172	TOD	SAS	India
GA001173	TOD	SAS	India
GA001174	TOD	SAS	India
GA001175	TOD	SAS	India
GA001176	TOD	SAS	India
GA001177	TOD	SAS	India
GA001178	TOD	SAS	India
GA001179	KTA	SAS	India
GA001180	KTA	SAS	India
GA001181	KTA	SAS	India
GA001182	KTA	SAS	India
GA001183	KTA	SAS	India
GA001184	KTA	SAS	India
GA001186	KTA	SAS	India
GA001187	KTA	SAS	India
GA001188	HLB	SAS	India
GA001189	HLB	SAS	India
GA001190	HLB	SAS	India
GA001191	HLB	SAS	India
GA001192	HLB	SAS	India
GA001193	MHR	SAS	India
GA001195	MHR	SAS	India
GA001196	MHR	SAS	India
GA001197	MHR	SAS	India
GA001198	MHR	SAS	India
GA001199	MHR	SAS	India
GA001200	MHR	SAS	India
GA001201	MHR	SAS	India
GA001202	MHR	SAS	India
GA001203	MHR	SAS	India
GA001204	MHR	SAS	India
GA001205	MHR	SAS	India
GA001206	MHR	SAS	India
GA001207	MHR	SAS	India
GA001208	MHR	SAS	India
GA001209	MHR	SAS	India
GA001210	MHR	SAS	India
GA001211	MHR	SAS	India
GA001212	MHR	SAS	India
GA001214	NAB	SAS	India
GA001215	NAB	SAS	India
GA001217	NAB	SAS	India
GA001218	NAB	SAS	India
GA001219	SOB	SAS	India
GA001220	SOB	SAS	India
GA001221	SOB	SAS	India
GA001222	SOB	SAS	India
GA001223	SOB	SAS	India
GA001224	SOB	SAS	India
GA001225	SOB	SAS	India
GA001227	SOB	SAS	India
GA001228	SOB	SAS	India
GA001229	MAA	SAS	India
GA001230	MAA	SAS	India
GA001231	MAA	SAS	India
GA001232	MAA	SAS	India
GA001234	MAA	SAS	India
GA001240	MAA	SAS	India
GA001241	MAA	SAS	India
GA001242	MAA	SAS	India
GA001243	MAA	SAS	India
GA001244	MAA	SAS	India
GA001245	MAA	SAS	India
GA001246	MAA	SAS	India
GA001247	MAA	SAS	India
GA001248	MAA	SAS	India
GA001251	MAA	SAS	India
GA001252	MAA	SAS	India
GA001253	MAA	SAS	India
GA001254	MAA	SAS	India
GA001256	MAA	SAS	India
GA001257	MAA	SAS	India
GA001258	MAA	SAS	India
GA001259	MAA	SAS	India
GA001260	MAA	SAS	India
GA001262	MAA	SAS	India
GA001263	MAA	SAS	India
GA001264	MAA	SAS	India
GA001265	MAA	SAS	India
GA001266	MAA	SAS	India
GA001267	MAA	SAS	India
GA001268	MAA	SAS	India
GA001269	MAA	SAS	India
GA001271	MAA	SAS	India
GA001272	MAA	SAS	India
GA001273	MAA	SAS	India
GA001274	BLR	SAS	India
GA001275	BLR	SAS	India
GA001276	BLR	SAS	India
GA001277	BLR	SAS	India
GA001278	BLR	SAS	India
GA001279	BLR	SAS	India
GA001280	BLR	SAS	India
GA001281	BLR	SAS	India
GA001282	BLR	SAS	India
GA001284	BLR	SAS	India
GA001285	BLR	SAS	India
GA001286	BLR	SAS	India
GA001287	BLR	SAS	India
GA001288	BLR	SAS	India
GA001289	BLR	SAS	India
GA001292	BLR	SAS	India
GA001295	BLR	SAS	India
GA001296	BLR	SAS	India
GA001298	BLR	SAS	India
GA001299	BLR	SAS	India
GA001305	BLR	SAS	India
GA001307	BLR	SAS	India
GA001308	BLR	SAS	India
GA001309	BLR	SAS	India
GA001311	BLR	SAS	India
GA001312	BLR	SAS	India
GA001313	BLR	SAS	India
GA001314	BLR	SAS	India
GA001316	BLR	SAS	India
GA001319	BLR	SAS	India
GA001320	BLR	SAS	India
GA001321	BLR	SAS	India
GA001322	BLR	SAS	India
GA001323	BLR	SAS	India
GA001324	GBR	WER	UK
GA001325	GBR	WER	UK
GA001326	GBR	WER	UK
GA001327	GBR	WER	UK
GA001328	GBR	WER	UK
GA001329	GBR	WER	UK
GA001330	GBR	WER	UK
GA001331	GBR	WER	UK
GA001332	GBR	WER	UK
GA001333	GBR	WER	UK
GA001334	GBR	WER	UK
GA001335	GBR	WER	UK
GA001336	GBR	WER	UK
GA001337	GBR	WER	UK
GA001338	GBR	WER	UK
GA001339	GBR	WER	UK
GA001340	GBR	WER	UK
GA001341	GBR	WER	UK
GA001342	GBR	WER	UK
GA001343	GBR	WER	UK
GA001344	GBR	WER	UK
GA001345	GBR	WER	UK
GA001346	GBR	WER	UK
GA001347	GBR	WER	UK
GA001348	DAI	SEA	China
GA001349	DAI	SEA	China
GA001350	DAI	SEA	China
GA001351	DAI	SEA	China
GA001352	DAI	SEA	China
GA001354	DAI	SEA	China
GA001355	DAI	SEA	China
GA001356	DAI	SEA	China
GA001357	DAI	SEA	China
GA001361	DAI	SEA	China
GA001362	DAI	SEA	China
GA001364	DAI	SEA	China
GA001365	DAI	SEA	China
GA001366	DAI	SEA	China
GA001367	DAI	SEA	China
GA001368	DAI	SEA	China
GA001369	DAI	SEA	China
GA001370	DAI	SEA	China
GA001371	DAI	SEA	China
GA001372	KHV	SEA	Vietnam
GA001373	KHV	SEA	Vietnam
GA001374	KHV	SEA	Vietnam
GA001375	KHV	SEA	Vietnam
GA001376	KHV	SEA	Vietnam
GA001377	KHV	SEA	Vietnam
GA001378	KHV	SEA	Vietnam
GA001379	KHV	SEA	Vietnam
GA001380	KHV	SEA	Vietnam
GA001381	KHV	SEA	Vietnam
GA001382	KHV	SEA	Vietnam
GA001383	KHV	SEA	Vietnam
GA001384	KHV	SEA	Vietnam
GA001385	KHV	SEA	Vietnam
GA001386	KHV	SEA	Vietnam
GA001387	KHV	SEA	Vietnam
GA001388	KHV	SEA	Vietnam
GA001389	KHV	SEA	Vietnam
GA001390	KHV	SEA	Vietnam
GA001391	KHV	SEA	Vietnam
GA001392	KHV	SEA	Vietnam
GA001393	KHV	SEA	Vietnam
GA001394	KHV	SEA	Vietnam
GA001395	KHV	SEA	Vietnam
GA001396	KHV	SEA	Vietnam
GA001397	STU	SAS	Sri Lanka
GA001398	STU	SAS	Sri Lanka
GA001399	ITU	SAS	India
GA001400	ITU	SAS	India
GA001401	ITU	SAS	India
GA001402	STU	SAS	Sri Lanka
GA001403	STU	SAS	Sri Lanka
GA001404	STU	SAS	Sri Lanka
GA001405	STU	SAS	Sri Lanka
GA001406	STU	SAS	Sri Lanka
GA001407	STU	SAS	Sri Lanka
GA001408	ITU	SAS	India
GA001409	ITU	SAS	India
GA001410	ITU	SAS	India
GA001411	ITU	SAS	India
GA001412	ITU	SAS	India
GA001413	ITU	SAS	India
GA001414	ITU	SAS	India
GA001415	ITU	SAS	India
GA001416	ITU	SAS	India
GA001417	ITU	SAS	India
GA001418	ITU	SAS	India
GA001419	ITU	SAS	India
GA001420	ITU	SAS	India
GA001421	ITU	SAS	India
GA001422	ITU	SAS	India
GA001423	ITU	SAS	India
GA001424	ITU	SAS	India
GA001425	ITU	SAS	India
GA001426	ITU	SAS	India
GA001427	ITU	SAS	India
GA001428	ITU	SAS	India
GA001429	ITU	SAS	India
GA001430	YRI	AFR	Nigeria
GA001431	HAN	NEA	China
GA001432	HAN	NEA	China
GA001433	HAN	NEA	China
GA001434	HAN	NEA	China
GA001435	HAN	NEA	China
GA001436	HAN	NEA	China
GA001437	HAN	NEA	China
GA001438	HAN	NEA	China
GA001439	HAN	NEA	China
GA001440	HAN	NEA	China
GA001441	HAN	NEA	China
GA001442	YRI	AFR	Nigeria
GA001443	YRI	AFR	Nigeria
GA001444	YRI	AFR	Nigeria
GA001445	YRI	AFR	Nigeria
GA001446	YRI	AFR	Nigeria
GA001447	YRI	AFR	Nigeria
GA001448	YRI	AFR	Nigeria
GA001449	YRI	AFR	Nigeria
GA001450	YRI	AFR	Nigeria
GA001451	YRI	AFR	Nigeria
GA001452	YRI	AFR	Nigeria
GA001453	YRI	AFR	Nigeria
GA001454	YRI	AFR	Nigeria
GA001455	YRI	AFR	Nigeria
GA001456	YRI	AFR	Nigeria
GA001457	YRI	AFR	Nigeria
GA001458	YRI	AFR	Nigeria
GA001459	YRI	AFR	Nigeria
GA001460	YRI	AFR	Nigeria
GA001461	YRI	AFR	Nigeria
GA001462	YRI	AFR	Nigeria
GA001463	YRI	AFR	Nigeria
GA001464	MAS	AFR	Kenya
GA001465	MAS	AFR	Kenya
GA001466	MAS	AFR	Kenya
GA001467	MAS	AFR	Kenya
GA001468	MAS	AFR	Kenya
GA001469	MAS	AFR	Kenya
GA001470	MAS	AFR	Kenya
GA001471	MAS	AFR	Kenya
GA001472	MAS	AFR	Kenya
GA001473	MAS	AFR	Kenya
GA001474	MAS	AFR	Kenya
GA001475	MAS	AFR	Kenya
GA001476	MAS	AFR	Kenya
GA001477	MAS	AFR	Kenya
GA001478	MAS	AFR	Kenya
GA001479	MAS	AFR	Kenya
GA001480	MAS	AFR	Kenya
GA001481	JPN	NEA	Japan
GA001482	JPN	NEA	Japan
GA001483	JPN	NEA	Japan
GA001484	JPN	NEA	Japan
GA001485	JPN	NEA	Japan
GA001486	JPN	NEA	Japan
GA001487	JPN	NEA	Japan
GA001488	JPN	NEA	Japan
GA001489	JPN	NEA	Japan
GA001490	JPN	NEA	Japan
GA001491	JPN	NEA	Japan
GA001492	JPN	NEA	Japan
GA001493	JPN	NEA	Japan
GA001494	JPN	NEA	Japan
GA001495	JPN	NEA	Japan
GA001496	JPN	NEA	Japan
GA001497	JPN	NEA	Japan
GA001498	JPN	NEA	Japan
GA001499	JPN	NEA	Japan
GA001500	JPN	NEA	Japan
GA001501	JPN	NEA	Japan
GA001502	JPN	NEA	Japan
GA001503	JPN	NEA	Japan
GA001504	JPN	NEA	Japan
GA001505	JPN	NEA	Japan
GA001506	JPN	NEA	Japan
GA001507	JPN	NEA	Japan
GA001508	JPN	NEA	Japan
GA001509	JPN	NEA	Japan
GA001510	JPN	NEA	Japan
GA001511	BUR	NEA	Mongolia
GA001512	BUR	NEA	Mongolia
GA001513	BUR	NEA	Mongolia
GA001514	BUR	NEA	Mongolia
GA001515	KHL	NEA	Mongolia
GA001516	MNG	NEA	Mongolia
GA001517	KHL	NEA	Mongolia
GA001518	BUR	NEA	Mongolia
GA001519	BUR	NEA	Mongolia
GA001520	BUR	NEA	Mongolia
GA001521	KHL	NEA	Mongolia
GA001522	BUR	NEA	Mongolia
GA001523	KHL	NEA	Mongolia
GA001524	KHL	NEA	Mongolia
GA001525	KHL	NEA	Mongolia
GA001526	BUR	NEA	Mongolia
GA001527	BUR	NEA	Mongolia
GA001528	BUR	NEA	Mongolia
GA001529	BUR	NEA	Mongolia
GA001530	BUR	NEA	Mongolia
GA001531	BUR	NEA	Mongolia
GA001532	BUR	NEA	Mongolia
GA001533	BUR	NEA	Mongolia
GA001534	BUR	NEA	Mongolia
GA001535	BUR	NEA	Mongolia
GA001536	BUR	NEA	Mongolia
GA001537	BUR	NEA	Mongolia
GA001538	BUR	NEA	Mongolia
GA001539	BUR	NEA	Mongolia
GA001540	BUR	NEA	Mongolia
GA001541	BUR	NEA	Mongolia
GA001542	BUR	NEA	Mongolia
GA001543	BUR	NEA	Mongolia
GA001544	BUR	NEA	Mongolia
GA001545	BUR	NEA	Mongolia
GA001546	BUR	NEA	Mongolia
GA001547	BUR	NEA	Mongolia
GA001548	BUR	NEA	Mongolia
GA001549	BUR	NEA	Mongolia
GA001550	BUR	NEA	Mongolia
GA001551	BUR	NEA	Mongolia
GA001552	BUR	NEA	Mongolia
GA001553	BUR	NEA	Mongolia
GA001554	BUR	NEA	Mongolia
GA001555	BUR	NEA	Mongolia
GA001556	KHL	NEA	Mongolia
GA001557	BUR	NEA	Mongolia
GA001558	BUR	NEA	Mongolia
GA001559	BUR	NEA	Mongolia
GA001560	BUR	NEA	Mongolia
GA001561	BUR	NEA	Mongolia
GA001562	BUR	NEA	Mongolia
GA001563	BUR	NEA	Mongolia
GA001564	BUR	NEA	Mongolia
GA001565	BUR	NEA	Mongolia
GA001566	BUR	NEA	Mongolia
GA001567	BUR	NEA	Mongolia
GA001568	KHL	NEA	Mongolia
GA001569	BUR	NEA	Mongolia
GA001570	BUR	NEA	Mongolia
GA001571	BUR	NEA	Mongolia
GA001572	BUR	NEA	Mongolia
GA001573	BUR	NEA	Mongolia
GA001574	BUR	NEA	Mongolia
GA001575	BUR	NEA	Mongolia
GA001576	BUR	NEA	Mongolia
GA001577	BUR	NEA	Mongolia
GA001578	BUR	NEA	Mongolia
GA001579	BUR	NEA	Mongolia
GA001580	BUR	NEA	Mongolia
GA001581	BUR	NEA	Mongolia
GA001582	BUR	NEA	Mongolia
GA001583	BUR	NEA	Mongolia
GA001584	BUR	NEA	Mongolia
GA001585	BUR	NEA	Mongolia
GA001586	BUR	NEA	Mongolia
GA001587	BUR	NEA	Mongolia
GA001588	BUR	NEA	Mongolia
GA001589	BUR	NEA	Mongolia
GA001590	BUR	NEA	Mongolia
GA001591	BUR	NEA	Mongolia
GA001592	BUR	NEA	Mongolia
GA001593	KHL	NEA	Mongolia
GA001594	BUR	NEA	Mongolia
GA001595	BUR	NEA	Mongolia
GA001596	BUR	NEA	Mongolia
GA001597	KHL	NEA	Mongolia
GA001598	BUR	NEA	Mongolia
GA001599	BUR	NEA	Mongolia
GA001600	BUR	NEA	Mongolia
GA001601	BUR	NEA	Mongolia
GA001602	BUR	NEA	Mongolia
GA001603	BUR	NEA	Mongolia
GA001604	KHL	NEA	Mongolia
GA001605	BUR	NEA	Mongolia
GA001606	BUR	NEA	Mongolia
GA001607	BUR	NEA	Mongolia
GA001608	BUR	NEA	Mongolia
GA001609	KHL	NEA	Mongolia
GA001610	BUR	NEA	Mongolia
GA001611	KOR	NEA	KOREA
GA001612	KOR	NEA	KOREA
GA001613	KOR	NEA	KOREA
GA001614	KOR	NEA	KOREA
GA001615	KOR	NEA	KOREA
GA001616	KOR	NEA	KOREA
GA001617	KOR	NEA	KOREA
GA001618	KOR	NEA	KOREA
GA001619	KOR	NEA	KOREA
GA001620	KOR	NEA	KOREA
GA001621	KOR	NEA	KOREA
GA001622	KOR	NEA	KOREA
GA001623	KOR	NEA	KOREA
GA001624	KOR	NEA	KOREA
GA001625	KOR	NEA	KOREA
GA001626	KOR	NEA	KOREA
GA001627	KOR	NEA	KOREA
GA001628	KOR	NEA	KOREA
GA001629	KOR	NEA	KOREA
GA001630	KOR	NEA	KOREA
GA001631	KOR	NEA	KOREA
GA001632	KOR	NEA	KOREA
GA001633	KOR	NEA	KOREA
GA001634	KOR	NEA	KOREA
GA001635	KOR	NEA	KOREA
GA001636	KOR	NEA	KOREA
GA001637	KOR	NEA	KOREA
GA001638	KOR	NEA	KOREA
GA001639	KOR	NEA	KOREA
GA001640	KOR	NEA	KOREA
GA001641	KOR	NEA	KOREA
GA001642	KOR	NEA	KOREA
GA001643	KOR	NEA	KOREA
GA001644	KOR	NEA	KOREA
GA001645	KOR	NEA	KOREA
GA001646	KOR	NEA	KOREA
GA001647	KOR	NEA	KOREA
GA001648	KOR	NEA	KOREA
GA001649	KOR	NEA	KOREA
GA001650	KOR	NEA	KOREA
GA001651	KOR	NEA	KOREA
GA001652	KOR	NEA	KOREA
GA001653	KOR	NEA	KOREA
GA001654	KOR	NEA	KOREA
GA001655	KOR	NEA	KOREA
GA001656	KOR	NEA	KOREA
GA001657	KOR	NEA	KOREA
GA001658	KOR	NEA	KOREA
GA001659	KOR	NEA	KOREA
GA001660	KOR	NEA	KOREA
GA001661	KOR	NEA	KOREA
GA001662	KOR	NEA	KOREA
GA001663	KOR	NEA	KOREA
GA001664	KOR	NEA	KOREA
GA001665	KOR	NEA	KOREA
GA001666	KOR	NEA	KOREA
GA001667	KOR	NEA	KOREA
GA001668	KOR	NEA	KOREA
GA001669	KOR	NEA	KOREA
GA001670	KOR	NEA	KOREA
GA001671	KOR	NEA	KOREA
GA001672	KOR	NEA	KOREA
GA001673	KOR	NEA	KOREA
GA001674	KOR	NEA	KOREA
GA001675	KOR	NEA	KOREA
GA001676	KOR	NEA	KOREA
GA001677	KOR	NEA	KOREA
GA001678	KOR	NEA	KOREA
GA001679	KOR	NEA	KOREA
GA001680	KOR	NEA	KOREA
GA001681	KOR	NEA	KOREA
GA001682	KOR	NEA	KOREA
GA001683	KOR	NEA	KOREA
GA001684	KOR	NEA	KOREA
GA001685	KOR	NEA	KOREA
GA001686	KOR	NEA	KOREA
GA001687	KOR	NEA	KOREA
GA001688	KOR	NEA	KOREA
GA001689	KOR	NEA	KOREA
GA001690	KOR	NEA	KOREA
GA001691	KOR	NEA	KOREA
GA001692	KOR	NEA	KOREA
GA001693	KOR	NEA	KOREA
GA001694	KOR	NEA	KOREA
GA001695	KOR	NEA	KOREA
GA001696	KOR	NEA	KOREA
GA001697	KOR	NEA	KOREA
GA001698	KOR	NEA	KOREA
GA001699	KOR	NEA	KOREA
GA001700	KOR	NEA	KOREA
GA001701	KOR	NEA	KOREA
GA001702	KOR	NEA	KOREA
GA001703	KOR	NEA	KOREA
GA001704	KOR	NEA	KOREA
GA001705	KOR	NEA	KOREA
GA001706	KOR	NEA	KOREA
GA001707	KOR	NEA	KOREA
GA001708	KOR	NEA	KOREA
GA001709	KOR	NEA	KOREA
GA001710	KOR	NEA	KOREA
GA001711	KOR	NEA	KOREA
GA001712	KOR	NEA	KOREA
GA001713	KOR	NEA	KOREA
GA001714	KOR	NEA	KOREA
GA001715	KOR	NEA	KOREA
GA001716	KOR	NEA	KOREA
GA001717	KOR	NEA	KOREA
GA001718	KOR	NEA	KOREA
GA001719	KOR	NEA	KOREA
GA001720	KOR	NEA	KOREA
GA001721	KOR	NEA	KOREA
GA001722	KOR	NEA	KOREA
GA001723	KOR	NEA	KOREA
GA001724	KOR	NEA	KOREA
GA001725	KOR	NEA	KOREA
GA001726	KOR	NEA	KOREA
GA001727	KOR	NEA	KOREA
GA001728	KOR	NEA	KOREA
GA001729	KOR	NEA	KOREA
GA001730	KOR	NEA	KOREA
GA001731	KOR	NEA	KOREA
GA001732	KOR	NEA	KOREA
GA001733	KOR	NEA	KOREA
GA001734	KOR	NEA	KOREA
GA001735	KOR	NEA	KOREA
GA001736	KOR	NEA	KOREA
GA001737	KOR	NEA	KOREA
GA001738	KOR	NEA	KOREA
GA001739	KOR	NEA	KOREA
GA001740	KOR	NEA	KOREA
GA001741	KOR	NEA	KOREA
GA001742	KOR	NEA	KOREA
GA001743	KOR	NEA	KOREA
GA001744	KOR	NEA	KOREA
GA001745	KOR	NEA	KOREA
GA001746	KOR	NEA	KOREA
GA001747	KOR	NEA	KOREA
GA001748	KOR	NEA	KOREA
GA001749	KOR	NEA	KOREA
GA001750	KOR	NEA	KOREA
GA001751	KOR	NEA	KOREA
GA001752	KOR	NEA	KOREA
GA001753	KOR	NEA	KOREA
GA001754	KOR	NEA	KOREA
GA001755	KOR	NEA	KOREA
GA001756	KOR	NEA	KOREA
GA001757	KOR	NEA	KOREA
GA001758	KOR	NEA	KOREA
GA001759	KOR	NEA	KOREA
GA001760	KOR	NEA	KOREA
GA001761	ATA	OCE	Papua New Guinea
GA001762	ATA	OCE	Papua New Guinea
GA001763	BAI	OCE	Papua New Guinea
GA001764	BAI	OCE	Papua New Guinea
GA001765	MAM	OCE	Papua New Guinea
GA001766	MAM	OCE	Papua New Guinea
GA001767	NAK	OCE	Papua New Guinea
GA001768	NAK	OCE	Papua New Guinea
GA001769	NAK	OCE	Papua New Guinea
GA001770	NAK	OCE	Papua New Guinea
GA001771	NAK	OCE	Papua New Guinea
GA001772	NAK	OCE	Papua New Guinea
GA001773	NAK	OCE	Papua New Guinea
GA001774	NKB	OCE	Papua New Guinea
GA001775	NKB	OCE	Papua New Guinea
GA001776	NKB	OCE	Papua New Guinea
GA001777	NKB	OCE	Papua New Guinea
GA001778	NKB	OCE	Papua New Guinea
GA001779	NKB	OCE	Papua New Guinea
GA001780	NKB	OCE	Papua New Guinea
GA001781	NKB	OCE	Papua New Guinea
GA001782	NKB	OCE	Papua New Guinea
GA001783	NKB	OCE	Papua New Guinea
GA001784	NKB	OCE	Papua New Guinea
GA001785	NKL	OCE	Papua New Guinea
GA001786	PAS	OCE	Papua New Guinea
GA001787	PAS	OCE	Papua New Guinea
GA001788	NAI	OCE	Papua New Guinea
GA001789	NAI	OCE	Papua New Guinea
GA001790	LAV	OCE	Papua New Guinea
GA001791	MUS	OCE	Papua New Guinea
GA001792	GUJ	SAS	Pakistan
GA001793	GUJ	SAS	Pakistan
GA001794	GUJ	SAS	Pakistan
GA001795	GUJ	SAS	Pakistan
GA001796	GUJ	SAS	Pakistan
GA001797	GUJ	SAS	Pakistan
GA001798	GUJ	SAS	Pakistan
GA001799	GUJ	SAS	Pakistan
GA001800	GUJ	SAS	Pakistan
